id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,match_outcome
242,2011,Bangalore,2011-04-12,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,9,Sr Tendulkar,M Chinnaswamy Stadium,Hdpk Dharmasena,Al Hill,Target is chased
243,2011,Chandigarh,2011-04-13,Chennai Super Kings,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kings Xi Punjab,0,6,Pc Valthaty,"Punjab Cricket Association Stadium, Mohali",Asad Rauf,Sl Shastri,Target is chased
244,2011,Mumbai,2011-04-13,Kochi Tuskers Kerala,Pune Warriors,Kochi Tuskers Kerala,bat,normal,0,Pune Warriors,0,4,Md Mishra,Dr Dy Patil Sports Academy,S Asnani,Pr Reiffel,Target is chased
245,2011,Hyderabad,2011-04-14,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Deccan Chargers,33,0,Dw Steyn,"Rajiv Gandhi International Stadium, Uppal",Re Koertzen,S Ravi,Target is defended
246,2011,Jaipur,2011-04-15,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,9,G Gambhir,Sawai Mansingh Stadium,Aleem Dar,Ss Hazare,Target is chased
247,2011,Mumbai,2011-04-15,Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,0,Kochi Tuskers Kerala,0,8,Bb Mccullum,Wankhede Stadium,Br Doctrove,Pr Reiffel,Target is chased
248,2011,Chennai,2011-04-16,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Chennai Super Kings,21,0,Mek Hussey,"Ma Chidambaram Stadium, Chepauk",Hdpk Dharmasena,Al Hill,Target is defended
249,2011,Hyderabad,2011-04-16,Deccan Chargers,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kings Xi Punjab,0,8,Pc Valthaty,"Rajiv Gandhi International Stadium, Uppal",Re Koertzen,S Ravi,Target is chased
250,2011,Mumbai,2011-04-17,Pune Warriors,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,3,Yuvraj Singh,Dr Dy Patil Sports Academy,Asad Rauf,Am Saheba,Target is chased
251,2011,Kolkata,2011-04-17,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,8,L Balaji,Eden Gardens,Aleem Dar,Rb Tiffin,Target is chased
252,2011,Kochi,2011-04-18,Chennai Super Kings,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,1,Kochi Tuskers Kerala,0,7,Bb Mccullum,Nehru Stadium,K Hariharan,Al Hill,Target is chased
253,2011,Delhi,2011-04-19,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,0,Deccan Chargers,16,0,S Sohal,Feroz Shah Kotla,Pr Reiffel,Rj Tucker,Target is defended
254,2011,Mumbai,2011-04-20,Pune Warriors,Mumbai Indians,Pune Warriors,bat,normal,0,Mumbai Indians,0,7,Mm Patel,Wankhede Stadium,Asad Rauf,Am Saheba,Target is chased
255,2011,Kolkata,2011-04-20,Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kochi Tuskers Kerala,6,0,Dpmd Jayawardene,Eden Gardens,Aleem Dar,Rb Tiffin,Target is defended
256,2011,Chandigarh,2011-04-21,Kings Xi Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,Kings Xi Punjab,48,0,Se Marsh,"Punjab Cricket Association Stadium, Mohali",S Asnani,Pr Reiffel,Target is defended
257,2011,Mumbai,2011-04-22,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,Mumbai Indians,8,0,Harbhajan Singh,Wankhede Stadium,Asad Rauf,Am Saheba,Target is defended
258,2011,Kolkata,2011-04-22,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,9,Ch Gayle,Eden Gardens,Ss Hazare,Rb Tiffin,Target is chased
259,2011,Delhi,2011-04-23,Delhi Daredevils,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Delhi Daredevils,29,0,Da Warner,Feroz Shah Kotla,S Asnani,Re Koertzen,Target is defended
260,2011,Hyderabad,2011-04-24,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,normal,0,Mumbai Indians,37,0,Sl Malinga,"Rajiv Gandhi International Stadium, Uppal",Hdpk Dharmasena,Al Hill,Target is defended
261,2011,Jaipur,2011-04-24,Kochi Tuskers Kerala,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,8,Sk Warne,Sawai Mansingh Stadium,Br Doctrove,Sk Tarapore,Target is chased
262,2011,Chennai,2011-04-25,Chennai Super Kings,Pune Warriors,Pune Warriors,field,normal,0,Chennai Super Kings,25,0,Mek Hussey,"Ma Chidambaram Stadium, Chepauk",Aleem Dar,Rb Tiffin,Target is defended
263,2011,Delhi,2011-04-26,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,3,V Kohli,Feroz Shah Kotla,S Asnani,Rj Tucker,Target is chased
264,2011,Mumbai,2011-04-27,Pune Warriors,Chennai Super Kings,Pune Warriors,bat,normal,0,Chennai Super Kings,0,8,De Bollinger,Dr Dy Patil Sports Academy,Asad Rauf,Sl Shastri,Target is chased
265,2011,Kochi,2011-04-27,Deccan Chargers,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,0,Deccan Chargers,55,0,I Sharma,Nehru Stadium,Hdpk Dharmasena,Al Hill,Target is defended
266,2011,Delhi,2011-04-28,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,normal,0,Kolkata Knight Riders,17,0,Mk Tiwary,Feroz Shah Kotla,Pr Reiffel,Rj Tucker,Target is defended
267,2011,Jaipur,2011-04-29,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,7,J Botha,Sawai Mansingh Stadium,Asad Rauf,Sk Tarapore,Target is chased
268,2011,Bangalore,2011-04-29,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,normal,0,Royal Challengers Bangalore,26,0,V Kohli,M Chinnaswamy Stadium,Aleem Dar,Ss Hazare,Target is defended
269,2011,Kochi,2011-04-30,Delhi Daredevils,Kochi Tuskers Kerala,Delhi Daredevils,bat,normal,0,Delhi Daredevils,38,0,V Sehwag,Nehru Stadium,Hdpk Dharmasena,Al Hill,Target is defended
270,2011,Kolkata,2011-04-30,Kings Xi Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,8,Iqbal Abdulla,Eden Gardens,Am Saheba,Sl Shastri,Target is chased
271,2011,Jaipur,2011-05-01,Pune Warriors,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,6,Lrpl Taylor,Sawai Mansingh Stadium,Sk Tarapore,Sja Taufel,Target is chased
272,2011,Chennai,2011-05-01,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,normal,0,Chennai Super Kings,19,0,Ja Morkel,"Ma Chidambaram Stadium, Chepauk",Aleem Dar,Rb Tiffin,Target is defended
273,2011,Mumbai,2011-05-02,Mumbai Indians,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Mumbai Indians,23,0,Ka Pollard,Wankhede Stadium,Hdpk Dharmasena,Pr Reiffel,Target is defended
274,2011,Delhi,2011-05-02,Delhi Daredevils,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,0,Kochi Tuskers Kerala,0,7,P Parameswaran,Feroz Shah Kotla,Asad Rauf,Sl Shastri,Target is chased
275,2011,Hyderabad,2011-05-03,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,normal,0,Kolkata Knight Riders,20,0,Yk Pathan,"Rajiv Gandhi International Stadium, Uppal",S Asnani,Rj Tucker,Target is defended
276,2011,Chennai,2011-05-04,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Chennai Super Kings,0,8,Mek Hussey,"Ma Chidambaram Stadium, Chepauk",Ss Hazare,Rb Tiffin,Target is chased
277,2011,Mumbai,2011-05-04,Mumbai Indians,Pune Warriors,Pune Warriors,field,normal,0,Mumbai Indians,21,0,R Sharma,Dr Dy Patil Sports Academy,Hdpk Dharmasena,Sja Taufel,Target is defended
278,2011,Kochi,2011-05-05,Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kochi Tuskers Kerala,17,0,Bj Hodge,Nehru Stadium,S Ravi,Rj Tucker,Target is defended
279,2011,Hyderabad,2011-05-05,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,4,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,Am Saheba,Target is chased
280,2011,Bangalore,2011-05-06,Royal Challengers Bangalore,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Royal Challengers Bangalore,85,0,Ch Gayle,M Chinnaswamy Stadium,Aleem Dar,Rb Tiffin,Target is defended
281,2011,Kolkata,2011-05-07,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,1,Kolkata Knight Riders,10,0,Iqbal Abdulla,Eden Gardens,Asad Rauf,Pr Reiffel,Target is defended
282,2011,Mumbai,2011-05-07,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Mumbai Indians,32,0,At Rayudu,Wankhede Stadium,K Hariharan,Sja Taufel,Target is defended
283,2011,Bangalore,2011-05-08,Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,normal,0,Royal Challengers Bangalore,0,9,Ch Gayle,M Chinnaswamy Stadium,Aleem Dar,Ss Hazare,Target is chased
284,2011,Chandigarh,2011-05-08,Kings Xi Punjab,Pune Warriors,Kings Xi Punjab,bat,normal,0,Pune Warriors,0,5,R Sharma,"Punjab Cricket Association Stadium, Mohali",Sk Tarapore,Rj Tucker,Target is chased
285,2011,Jaipur,2011-05-09,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,Chennai Super Kings,63,0,M Vijay,Sawai Mansingh Stadium,K Hariharan,Sja Taufel,Target is defended
286,2011,Hyderabad,2011-05-10,Deccan Chargers,Pune Warriors,Deccan Chargers,bat,normal,0,Pune Warriors,0,6,Mr Marsh,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,Am Saheba,Target is chased
287,2011,Chandigarh,2011-05-10,Kings Xi Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Kings Xi Punjab,76,0,Ba Bhatt,"Punjab Cricket Association Stadium, Mohali",Sk Tarapore,Rj Tucker,Target is defended
288,2011,Jaipur,2011-05-11,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,9,S Aravind,Sawai Mansingh Stadium,Hdpk Dharmasena,K Hariharan,Target is chased
289,2011,Chennai,2011-05-12,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,0,Chennai Super Kings,18,0,Ms Dhoni,"Ma Chidambaram Stadium, Chepauk",Am Saheba,Sl Shastri,Target is defended
290,2011,Indore,2011-05-13,Kochi Tuskers Kerala,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kings Xi Punjab,0,6,Kd Karthik,Holkar Cricket Stadium,S Asnani,Rj Tucker,Target is chased
291,2011,Bangalore,2011-05-14,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,1,Royal Challengers Bangalore,0,4,Ch Gayle,M Chinnaswamy Stadium,Re Koertzen,Rb Tiffin,Target is chased
292,2011,Mumbai,2011-05-14,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,normal,0,Deccan Chargers,10,0,A Mishra,Wankhede Stadium,S Ravi,Sk Tarapore,Target is defended
293,2011,Dharamsala,2011-05-15,Kings Xi Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,0,Kings Xi Punjab,29,0,Pp Chawla,Himachal Pradesh Cricket Association Stadium,Asad Rauf,Sl Shastri,Target is defended
294,2011,Indore,2011-05-15,Rajasthan Royals,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,0,Kochi Tuskers Kerala,0,8,Bj Hodge,Holkar Cricket Stadium,Pr Reiffel,Rj Tucker,Target is chased
295,2011,Mumbai,2011-05-16,Pune Warriors,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,0,6,A Mishra,Dr Dy Patil Sports Academy,S Ravi,Sk Tarapore,Target is chased
296,2011,Dharamsala,2011-05-17,Kings Xi Punjab,Royal Challengers Bangalore,Kings Xi Punjab,bat,normal,0,Kings Xi Punjab,111,0,Ac Gilchrist,Himachal Pradesh Cricket Association Stadium,Asad Rauf,Am Saheba,Target is defended
297,2011,Chennai,2011-05-18,Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,bat,normal,0,Chennai Super Kings,11,0,Wp Saha,"Ma Chidambaram Stadium, Chepauk",Hdpk Dharmasena,Re Koertzen,Target is defended
298,2011,Mumbai,2011-05-19,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,7,Yk Pathan,Dr Dy Patil Sports Academy,S Ravi,Sja Taufel,Target is chased
299,2011,Mumbai,2011-05-20,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,0,Rajasthan Royals,0,10,Sr Watson,Wankhede Stadium,Re Koertzen,Pr Reiffel,Target is chased
300,2011,Dharamsala,2011-05-21,Deccan Chargers,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Deccan Chargers,82,0,S Dhawan,Himachal Pradesh Cricket Association Stadium,Asad Rauf,Am Saheba,Target is defended
301,2011,Delhi,2011-05-21,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,no result,0,Unknown,0,0,Unknown,Feroz Shah Kotla,Ss Hazare,Rj Tucker,Tie/No Result
302,2011,Bangalore,2011-05-22,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,8,Ch Gayle,M Chinnaswamy Stadium,K Hariharan,Re Koertzen,Target is chased
303,2011,Kolkata,2011-05-22,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,5,Jec Franklin,Eden Gardens,Sk Tarapore,Sja Taufel,Target is chased
304,2011,Mumbai,2011-05-24,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,6,Sk Raina,Wankhede Stadium,Asad Rauf,Sja Taufel,Target is chased
305,2011,Mumbai,2011-05-25,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,Mm Patel,Wankhede Stadium,Asad Rauf,Sja Taufel,Target is chased
306,2011,Chennai,2011-05-27,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Royal Challengers Bangalore,43,0,Ch Gayle,"Ma Chidambaram Stadium, Chepauk",Asad Rauf,Sja Taufel,Target is defended
307,2011,Chennai,2011-05-28,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Chennai Super Kings,58,0,M Vijay,"Ma Chidambaram Stadium, Chepauk",Asad Rauf,Sja Taufel,Target is defended
308,2012,Chennai,2012-04-04,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,8,Re Levi,"Ma Chidambaram Stadium, Chepauk",Jd Cloete,Sja Taufel,Target is chased
309,2012,Kolkata,2012-04-05,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,8,Ik Pathan,Eden Gardens,S Asnani,Hdpk Dharmasena,Target is chased
310,2012,Mumbai,2012-04-06,Pune Warriors,Mumbai Indians,Mumbai Indians,field,normal,0,Pune Warriors,28,0,Spd Smith,Wankhede Stadium,Ak Chaudhary,Sja Taufel,Target is defended
311,2012,Jaipur,2012-04-06,Rajasthan Royals,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Rajasthan Royals,31,0,Am Rahane,Sawai Mansingh Stadium,Bf Bowden,Sk Tarapore,Target is defended
312,2012,Bangalore,2012-04-07,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,0,Royal Challengers Bangalore,20,0,Ab De Villiers,M Chinnaswamy Stadium,S Asnani,S Ravi,Target is defended
313,2012,Visakhapatnam,2012-04-07,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,normal,0,Chennai Super Kings,74,0,Ra Jadeja,Dr. Y.S. Rajasekhara Reddy Aca-Vdca Cricket Stadium,Jd Cloete,Hdpk Dharmasena,Target is defended
314,2012,Jaipur,2012-04-08,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Rajasthan Royals,22,0,Bj Hodge,Sawai Mansingh Stadium,Bf Bowden,Va Kulkarni,Target is defended
315,2012,Pune,2012-04-08,Pune Warriors,Kings Xi Punjab,Pune Warriors,bat,normal,0,Pune Warriors,22,0,Mn Samuels,Subrata Roy Sahara Stadium,S Das,Sja Taufel,Target is defended
316,2012,Visakhapatnam,2012-04-09,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,normal,0,Mumbai Indians,0,5,Rg Sharma,Dr. Y.S. Rajasekhara Reddy Aca-Vdca Cricket Stadium,Ak Chaudhary,Jd Cloete,Target is chased
317,2012,Bangalore,2012-04-10,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,42,0,L Balaji,M Chinnaswamy Stadium,S Ravi,Rj Tucker,Target is defended
318,2012,Delhi,2012-04-10,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,8,M Morkel,Feroz Shah Kotla,Asad Rauf,Sk Tarapore,Target is chased
319,2012,Mumbai,2012-04-11,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Mumbai Indians,27,0,Ka Pollard,Wankhede Stadium,Aleem Dar,Bnj Oxenford,Target is defended
320,2012,Chennai,2012-04-12,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,normal,0,Chennai Super Kings,0,5,F Du Plessis,"Ma Chidambaram Stadium, Chepauk",Hdpk Dharmasena,Rj Tucker,Target is chased
321,2012,Chandigarh,2012-04-12,Pune Warriors,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kings Xi Punjab,0,7,Ad Mascarenhas,"Punjab Cricket Association Stadium, Mohali",Va Kulkarni,Sk Tarapore,Target is chased
322,2012,Kolkata,2012-04-13,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,0,Kolkata Knight Riders,0,5,Shakib Al Hasan,Eden Gardens,Asad Rauf,S Asnani,Target is chased
323,2012,Delhi,2012-04-19,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,0,Delhi Daredevils,0,5,Kp Pietersen,Feroz Shah Kotla,Bf Bowden,Sk Tarapore,Target is chased
324,2012,Pune,2012-04-14,Chennai Super Kings,Pune Warriors,Chennai Super Kings,bat,normal,0,Pune Warriors,0,7,Jd Ryder,Subrata Roy Sahara Stadium,Aleem Dar,Bnj Oxenford,Target is chased
325,2012,Kolkata,2012-04-15,Kings Xi Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kings Xi Punjab,2,0,Sp Narine,Eden Gardens,Asad Rauf,S Asnani,Target is defended
326,2012,Bangalore,2012-04-15,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,normal,0,Rajasthan Royals,59,0,Am Rahane,M Chinnaswamy Stadium,Jd Cloete,Rj Tucker,Target is defended
327,2012,Mumbai,2012-04-16,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,7,S Nadeem,Wankhede Stadium,Bf Bowden,Sk Tarapore,Target is chased
328,2012,Jaipur,2012-04-17,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,normal,0,Rajasthan Royals,0,5,Bj Hodge,Sawai Mansingh Stadium,Aleem Dar,Bnj Oxenford,Target is chased
329,2012,Bangalore,2012-04-17,Pune Warriors,Royal Challengers Bangalore,Pune Warriors,bat,normal,0,Royal Challengers Bangalore,0,6,Ch Gayle,M Chinnaswamy Stadium,S Asnani,S Das,Target is chased
330,2012,Chandigarh,2012-04-18,Kings Xi Punjab,Kolkata Knight Riders,Kings Xi Punjab,bat,normal,0,Kolkata Knight Riders,0,8,G Gambhir,"Punjab Cricket Association Stadium, Mohali",Jd Cloete,Rj Tucker,Target is chased
331,2012,Hyderabad,2012-05-10,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,0,Delhi Daredevils,0,9,Da Warner,"Rajiv Gandhi International Stadium, Uppal",Jd Cloete,Sja Taufel,Target is chased
332,2012,Chennai,2012-04-19,Chennai Super Kings,Pune Warriors,Pune Warriors,field,normal,0,Chennai Super Kings,13,0,Kmdn Kulasekara,"Ma Chidambaram Stadium, Chepauk",Asad Rauf,S Das,Target is defended
333,2012,Chandigarh,2012-04-20,Kings Xi Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,5,Ch Gayle,"Punjab Cricket Association Stadium, Mohali",S Ravi,Rj Tucker,Target is chased
334,2012,Chennai,2012-04-21,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Chennai Super Kings,0,7,F Du Plessis,"Ma Chidambaram Stadium, Chepauk",Aleem Dar,Bnj Oxenford,Target is chased
335,2012,Delhi,2012-04-21,Pune Warriors,Delhi Daredevils,Delhi Daredevils,field,normal,0,Pune Warriors,20,0,Sc Ganguly,Feroz Shah Kotla,Asad Rauf,S Das,Target is defended
336,2012,Mumbai,2012-04-22,Mumbai Indians,Kings Xi Punjab,Mumbai Indians,bat,normal,0,Kings Xi Punjab,0,6,Se Marsh,Wankhede Stadium,S Ravi,Rj Tucker,Target is chased
337,2012,Cuttack,2012-04-22,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,5,B Lee,Barabati Stadium,Bf Bowden,Sk Tarapore,Target is chased
338,2012,Jaipur,2012-04-23,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Royal Challengers Bangalore,46,0,Ab De Villiers,Sawai Mansingh Stadium,Asad Rauf,S Asnani,Target is defended
339,2012,Pune,2012-04-24,Pune Warriors,Delhi Daredevils,Pune Warriors,bat,normal,0,Delhi Daredevils,0,8,V Sehwag,Subrata Roy Sahara Stadium,S Ravi,Rj Tucker,Target is chased
340,2012,Chandigarh,2012-04-25,Kings Xi Punjab,Mumbai Indians,Kings Xi Punjab,bat,normal,0,Mumbai Indians,0,4,At Rayudu,"Punjab Cricket Association Stadium, Mohali",Aleem Dar,Bnj Oxenford,Target is chased
341,2012,Pune,2012-04-26,Deccan Chargers,Pune Warriors,Deccan Chargers,bat,normal,0,Deccan Chargers,18,0,Cl White,Subrata Roy Sahara Stadium,S Ravi,Rj Tucker,Target is defended
342,2012,Delhi,2012-04-27,Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,normal,0,Delhi Daredevils,37,0,V Sehwag,Feroz Shah Kotla,Aleem Dar,Bnj Oxenford,Target is defended
343,2012,Chennai,2012-04-28,Kings Xi Punjab,Chennai Super Kings,Kings Xi Punjab,bat,normal,0,Kings Xi Punjab,7,0,Mandeep Singh,"Ma Chidambaram Stadium, Chepauk",Bf Bowden,Sk Tarapore,Target is defended
344,2012,Kolkata,2012-04-28,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,47,0,G Gambhir,Eden Gardens,Asad Rauf,Br Doctrove,Target is defended
345,2012,Delhi,2012-04-29,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,0,Delhi Daredevils,1,0,V Sehwag,Feroz Shah Kotla,S Ravi,Rj Tucker,Target is defended
346,2012,Mumbai,2012-04-29,Deccan Chargers,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,5,Dw Steyn,Wankhede Stadium,Ak Chaudhary,Bnj Oxenford,Target is chased
347,2012,Chennai,2012-04-30,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Kolkata Knight Riders,0,5,G Gambhir,"Ma Chidambaram Stadium, Chepauk",Bf Bowden,C Shamshuddin,Target is chased
348,2012,Cuttack,2012-05-01,Deccan Chargers,Pune Warriors,Deccan Chargers,bat,normal,0,Deccan Chargers,13,0,Kc Sangakkara,Barabati Stadium,Aleem Dar,Ak Chaudhary,Target is defended
349,2012,Jaipur,2012-05-01,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,normal,0,Delhi Daredevils,0,6,P Negi,Sawai Mansingh Stadium,Jd Cloete,Sja Taufel,Target is chased
350,2012,Bangalore,2012-05-02,Royal Challengers Bangalore,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kings Xi Punjab,0,4,Azhar Mahmood,M Chinnaswamy Stadium,Bf Bowden,C Shamshuddin,Target is chased
351,2012,Pune,2012-05-03,Mumbai Indians,Pune Warriors,Mumbai Indians,bat,normal,0,Mumbai Indians,1,0,Sl Malinga,Subrata Roy Sahara Stadium,Asad Rauf,S Asnani,Target is defended
352,2012,Chennai,2012-05-04,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,normal,0,Chennai Super Kings,10,0,Sk Raina,"Ma Chidambaram Stadium, Chepauk",Hdpk Dharmasena,Bnj Oxenford,Target is defended
353,2012,Kolkata,2012-05-05,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,7,0,Sp Narine,Eden Gardens,Bf Bowden,Sk Tarapore,Target is defended
354,2012,Chandigarh,2012-05-05,Rajasthan Royals,Kings Xi Punjab,Rajasthan Royals,bat,normal,0,Rajasthan Royals,43,0,Sr Watson,"Punjab Cricket Association Stadium, Mohali",Jd Cloete,Sja Taufel,Target is defended
355,2012,Mumbai,2012-05-06,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,2,Dr Smith,Wankhede Stadium,Asad Rauf,S Asnani,Target is chased
356,2012,Bangalore,2012-05-06,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,5,Ab De Villiers,M Chinnaswamy Stadium,Hdpk Dharmasena,Bnj Oxenford,Target is chased
357,2012,Delhi,2012-05-07,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,normal,0,Kolkata Knight Riders,0,6,Jh Kallis,Feroz Shah Kotla,Jd Cloete,S Ravi,Target is chased
358,2012,Pune,2012-05-08,Pune Warriors,Rajasthan Royals,Pune Warriors,bat,normal,0,Rajasthan Royals,0,7,Sr Watson,Subrata Roy Sahara Stadium,Asad Rauf,Br Doctrove,Target is chased
359,2012,Hyderabad,2012-05-08,Kings Xi Punjab,Deccan Chargers,Deccan Chargers,field,normal,0,Kings Xi Punjab,25,0,Mandeep Singh,"Rajiv Gandhi International Stadium, Uppal",Hdpk Dharmasena,Bnj Oxenford,Target is defended
360,2012,Mumbai,2012-05-09,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,9,Ch Gayle,Wankhede Stadium,Bf Bowden,Va Kulkarni,Target is chased
