id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,match_outcome,home_advantage
270,2011,Kolkata,2011-04-30,Kings Xi Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,8,Iqbal Abdulla,Eden Gardens,Am Saheba,Sl Shastri,Target is chased,Team2 Home
271,2011,Jaipur,2011-05-01,Pune Warriors,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,6,Lrpl Taylor,Sawai Mansingh Stadium,Sk Tarapore,Sja Taufel,Target is chased,Neutral
272,2011,Chennai,2011-05-01,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,normal,0,Chennai Super Kings,19,0,Ja Morkel,"Ma Chidambaram Stadium, Chepauk",Aleem Dar,Rb Tiffin,Target is defended,Team1 Home
273,2011,Mumbai,2011-05-02,Mumbai Indians,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Mumbai Indians,23,0,Ka Pollard,Wankhede Stadium,Hdpk Dharmasena,Pr Reiffel,Target is defended,Team1 Home
274,2011,Delhi,2011-05-02,Delhi Daredevils,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,0,Kochi Tuskers Kerala,0,7,P Parameswaran,Feroz Shah Kotla,Asad Rauf,Sl Shastri,Target is chased,Team1 Home
275,2011,Hyderabad,2011-05-03,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,normal,0,Kolkata Knight Riders,20,0,Yk Pathan,"Rajiv Gandhi International Stadium, Uppal",S Asnani,Rj Tucker,Target is defended,Neutral
276,2011,Chennai,2011-05-04,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Chennai Super Kings,0,8,Mek Hussey,"Ma Chidambaram Stadium, Chepauk",Ss Hazare,Rb Tiffin,Target is chased,Team2 Home
277,2011,Mumbai,2011-05-04,Mumbai Indians,Pune Warriors,Pune Warriors,field,normal,0,Mumbai Indians,21,0,R Sharma,Dr Dy Patil Sports Academy,Hdpk Dharmasena,Sja Taufel,Target is defended,Team1 Home
278,2011,Kochi,2011-05-05,Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kochi Tuskers Kerala,17,0,Bj Hodge,Nehru Stadium,S Ravi,Rj Tucker,Target is defended,Team1 Home
279,2011,Hyderabad,2011-05-05,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,4,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,Am Saheba,Target is chased,Neutral
280,2011,Bangalore,2011-05-06,Royal Challengers Bangalore,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Royal Challengers Bangalore,85,0,Ch Gayle,M Chinnaswamy Stadium,Aleem Dar,Rb Tiffin,Target is defended,Team1 Home
281,2011,Kolkata,2011-05-07,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,1,Kolkata Knight Riders,10,0,Iqbal Abdulla,Eden Gardens,Asad Rauf,Pr Reiffel,Target is defended,Team2 Home
282,2011,Mumbai,2011-05-07,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Mumbai Indians,32,0,At Rayudu,Wankhede Stadium,K Hariharan,Sja Taufel,Target is defended,Team1 Home
283,2011,Bangalore,2011-05-08,Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,normal,0,Royal Challengers Bangalore,0,9,Ch Gayle,M Chinnaswamy Stadium,Aleem Dar,Ss Hazare,Target is chased,Team2 Home
284,2011,Chandigarh,2011-05-08,Kings Xi Punjab,Pune Warriors,Kings Xi Punjab,bat,normal,0,Pune Warriors,0,5,R Sharma,"Punjab Cricket Association Stadium, Mohali",Sk Tarapore,Rj Tucker,Target is chased,Neutral
285,2011,Jaipur,2011-05-09,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,Chennai Super Kings,63,0,M Vijay,Sawai Mansingh Stadium,K Hariharan,Sja Taufel,Target is defended,Neutral
286,2011,Hyderabad,2011-05-10,Deccan Chargers,Pune Warriors,Deccan Chargers,bat,normal,0,Pune Warriors,0,6,Mr Marsh,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,Am Saheba,Target is chased,Neutral
287,2011,Chandigarh,2011-05-10,Kings Xi Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Kings Xi Punjab,76,0,Ba Bhatt,"Punjab Cricket Association Stadium, Mohali",Sk Tarapore,Rj Tucker,Target is defended,Neutral
288,2011,Jaipur,2011-05-11,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,9,S Aravind,Sawai Mansingh Stadium,Hdpk Dharmasena,K Hariharan,Target is chased,Neutral
289,2011,Chennai,2011-05-12,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,0,Chennai Super Kings,18,0,Ms Dhoni,"Ma Chidambaram Stadium, Chepauk",Am Saheba,Sl Shastri,Target is defended,Team1 Home
290,2011,Indore,2011-05-13,Kochi Tuskers Kerala,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kings Xi Punjab,0,6,Kd Karthik,Holkar Cricket Stadium,S Asnani,Rj Tucker,Target is chased,Neutral
291,2011,Bangalore,2011-05-14,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,1,Royal Challengers Bangalore,0,4,Ch Gayle,M Chinnaswamy Stadium,Re Koertzen,Rb Tiffin,Target is chased,Team2 Home
292,2011,Mumbai,2011-05-14,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,normal,0,Deccan Chargers,10,0,A Mishra,Wankhede Stadium,S Ravi,Sk Tarapore,Target is defended,Team2 Home
293,2011,Dharamsala,2011-05-15,Kings Xi Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,0,Kings Xi Punjab,29,0,Pp Chawla,Himachal Pradesh Cricket Association Stadium,Asad Rauf,Sl Shastri,Target is defended,Neutral
294,2011,Indore,2011-05-15,Rajasthan Royals,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,0,Kochi Tuskers Kerala,0,8,Bj Hodge,Holkar Cricket Stadium,Pr Reiffel,Rj Tucker,Target is chased,Neutral
